text,label
"I feel completely prepared for my exam tomorrow. I studied well and I'm confident I'll do great.",Low
"I reviewed all my notes and feel good about the material. Bring it on!",Low
"I'm looking forward to the exam. I know I've put in the work and it will pay off.",Low
"Feeling calm and collected. I've done enough revision and I trust my preparation.",Low
"I'm ready for the test. I studied consistently throughout the semester.",Low
"I feel comfortable with the topics and I think the exam will go smoothly.",Low
"I've practiced all the past papers and I feel confident about my answers.",Low
"I'm not worried at all. I understand the concepts well and I'm ready.",Low
"The exam doesn't scare me. I've been studying regularly and I feel prepared.",Low
"I'm in a good headspace for the exam. My revision plan worked out perfectly.",Low
"I reviewed everything one last time and I'm confident I'll pass with ease.",Low
"I feel relaxed about the upcoming test. I know the material inside out.",Low
"I'm actually excited about the exam. I want to show what I've learned.",Low
"My study group sessions really helped. I feel solid about every topic.",Low
"I slept well last night and feel fresh for the exam today. No worries.",Low
"I'm calm and focused. I know what to expect and I've prepared accordingly.",Low
"I've been doing well in practice tests, so I'm not anxious about the real one.",Low
"Feeling positive and motivated. The exam is just another step forward.",Low
"I organized my study schedule perfectly and covered everything I needed to.",Low
"I'm grateful for the study resources I had. I feel more than ready.",Low
"I feel like I've given it my best effort and that's all I can do.",Low
"No stress here. I'm taking it one question at a time and trusting my knowledge.",Low
"I'm at peace with however the exam goes. I know I did my best to prepare.",Low
"Feeling optimistic. The syllabus is well covered and I have no gaps.",Low
"I've prepared smart, not just hard. I feel efficient and confident.",Low
"I genuinely enjoy this subject, so the exam feels more like a fun challenge.",Low
"I've been consistently scoring well in mock tests. I'm confident.",Low
"The exam is manageable. I broke down the syllabus and tackled each topic.",Low
"I feel great about tomorrow. All my flashcards and summaries are done.",Low
"I know I'm ready. I've worked hard this semester and it shows in my practice.",Low
"I feel balanced and prepared. No last-minute cramming needed.",Low
"My teacher said I'm well-prepared and that gives me more confidence.",Low
"I'm heading into the exam with a clear mind and a solid plan.",Low
"Honestly, I feel good. I even helped a friend study, so I know the material well.",Low
"Exams are a normal part of life. I've prepared and I'll do my best.",Low
"I feel calm because I followed a structured study plan for weeks.",Low
"I trust the process. I studied hard and now it's time to show it.",Low
"I feel light and unburdened. My revision was thorough and effective.",Low
"I'm walking into the exam hall with confidence and a smile.",Low
"I had a good breakfast, revised my weak areas, and I'm ready to go.",Low
"I'm a little nervous but mostly excited. I know the content well enough.",Low
"My preparation has been consistent. I'm confident in my understanding.",Low
"I feel strong. I've overcome harder challenges before, and this exam is doable.",Low
"I studied with focus and discipline. I'm ready for whatever comes.",Low
"I have no fear about the exam. I prepared systematically and thoroughly.",Low
"I feel mentally sharp and ready. I got enough rest and did my final review.",Low
"I'm not overthinking it. I know what I know and I'll give it my best shot.",Low
"I feel a positive energy about the exam. Good vibes only!",Low
"My notes are clean, my mind is clear, and I'm confident about the test.",Low
"I feel assured. I went through every chapter and practiced every problem type.",Low
"I'm a bit nervous but it's a healthy kind of nervous. I'm ready.",Moderate
"I studied most of the syllabus but I'm still worried about a few chapters.",Moderate
"I think I'll do okay, but some topics still feel a bit unclear to me.",Moderate
"I prepared but I keep second-guessing whether I covered enough material.",Moderate
"I'm somewhat anxious about the exam format. I hope there are no surprises.",Moderate
"I've been studying but I feel like time ran out before I could finish everything.",Moderate
"I know the basics well but the harder questions might trip me up.",Moderate
"I'm feeling uneasy. I studied but I'm not sure it was enough.",Moderate
"I hope I don't blank out during the exam. I know the content but I get nervous.",Moderate
"I couldn't sleep well last night because I kept thinking about the exam.",Moderate
"My preparation is decent but I'm worried about time management during the test.",Moderate
"I feel okay-ish. Not fully confident but not panicking either.",Moderate
"I revised most topics but there are gaps that worry me a little.",Moderate
"I keep going back to my notes because I don't feel like anything is sticking.",Moderate
"I'm dreading the essay questions. I hope I can express my ideas clearly.",Moderate
"I feel a knot in my stomach when I think about the exam but I'm trying to stay positive.",Moderate
"I studied hard but I'm still not sure if I focused on the right things.",Moderate
"I feel anxious but I'm managing it. Just hoping for the best.",Moderate
"I wish I had started studying earlier. Now I'm a bit behind.",Moderate
"I'm worried about one specific topic that I still don't fully understand.",Moderate
"I think I can pass but getting a good grade feels uncertain right now.",Moderate
"I've been revising but my mind keeps wandering and I can't focus properly.",Moderate
"I feel tense but not overwhelmed. I just want it to be over.",Moderate
"I keep imagining worst-case scenarios about the exam and it makes me anxious.",Moderate
"Some of my friends seem so confident and it makes me doubt my own preparation.",Moderate
"I'm handling the stress okay but it's definitely there in the background.",Moderate
"I studied but couldn't cover the optional topics. I hope they're not on the exam.",Moderate
"I feel like I understand the material but I might struggle under time pressure.",Moderate
"My heart beats a little faster when I think about tomorrow's exam.",Moderate
"I want to do well so badly that the pressure is getting to me a little.",Moderate
"I revised a lot but I still feel like I could have done more. It's unsettling.",Moderate
"I keep switching between feeling ready and feeling unprepared. It's confusing.",Moderate
"I think I'll manage but I'm not as confident as I'd like to be.",Moderate
"I'm stressed about the exam but I'm using breathing exercises to calm down.",Moderate
"I feel somewhat prepared but the fear of failure is lingering in my mind.",Moderate
"I made good notes but didn't have time to revise them as much as I wanted.",Moderate
"I'm nervous about the difficulty level. I hope it's fair and not too tricky.",Moderate
"I'm worried I'll mix up concepts during the exam. It happened before.",Moderate
"I feel a moderate level of anxiety. It's not crippling but it's there.",Moderate
"I'm concerned about my performance but I'm trying to focus on what I know.",Moderate
"I studied well for some subjects but this particular one makes me really anxious.",Moderate
"I feel like there's too much to remember and not enough time to recall it all.",Moderate
"I'm cautiously optimistic but the anxiety keeps creeping in at odd moments.",Moderate
"I prepared as much as I could but I still have this nagging feeling of doubt.",Moderate
"I'm managing my stress but it takes conscious effort. I hope I can stay calm during the exam.",Moderate
"I feel unsure about a few key topics and it's making me anxious overall.",Moderate
"I know panicking won't help but I can't seem to fully relax either.",Moderate
"I practiced some questions but I'm worried the actual exam will be harder.",Moderate
"I feel somewhat ready but the weight of expectations is heavy.",Moderate
"I'm taking it one day at a time but the exam date is approaching fast and it worries me.",Moderate
"I did my best to prepare but there's always that what-if feeling nagging me.",Moderate
"I'm terrified about the exam. I feel like I haven't prepared at all.",High
"I can't stop panicking. My mind goes blank every time I try to study.",High
"I feel like I'm going to fail no matter what I do. The pressure is crushing me.",High
"I haven't slept in two days because of exam anxiety. I can't think straight.",High
"I'm having panic attacks every time I think about the exam. I can't breathe properly.",High
"I feel completely overwhelmed. The syllabus is too vast and I can't cope.",High
"My hands are shaking and I feel nauseous just thinking about the test.",High
"I've been crying because of the stress. I don't think I can handle this exam.",High
"I feel like my entire future depends on this exam and it's destroying me mentally.",High
"I can't eat or sleep. The exam has taken over my entire life and I'm breaking down.",High
"I feel paralyzed with fear. I opened my textbook but I just stared at it blankly.",High
"The anxiety is so intense that I want to skip the exam altogether.",High
"I feel like throwing up. My body physically reacts to the thought of failing.",High
"I'm having nightmares about the exam. I wake up drenched in sweat.",High
"I feel hopeless. No matter how much I study, it doesn't feel like enough.",High
"My anxiety is through the roof. I can't concentrate on anything anymore.",High
"I feel like I'm suffocating under the pressure. I can't take it anymore.",High
"I'm constantly on edge. Every small noise startles me while I'm trying to study.",High
"I feel isolated because everyone else seems fine and I'm falling apart inside.",High
"The fear of disappointing my parents is making my anxiety unbearable.",High
"I can't stop thinking about what will happen if I fail. It consumes my every thought.",High
"I feel physically sick from the stress. My head is pounding and my chest is tight.",High
"I'm sobbing uncontrollably. I feel so stupid and unprepared for this exam.",High
"I want to disappear. The pressure from exams is making me feel worthless.",High
"I had a full breakdown today. I threw my books across the room in frustration.",High
"My anxiety is so bad that I've started avoiding my study group entirely.",High
"I feel like the walls are closing in on me. The exam stress is unbearable.",High
"I can't function normally. I forgot to eat today because of exam worry.",High
"I feel a constant sense of dread that won't go away no matter what I try.",High
"I'm questioning my intelligence and self-worth because of this exam.",High
"The thought of entering the exam hall makes me want to run away.",High
"I feel trapped in a cycle of panic and helplessness. I don't see a way out.",High
"I'm so overwhelmed that I've given up studying. What's the point anyway?",High
"I keep telling myself I'll fail. The negative thoughts won't stop.",High
"My heart is racing constantly and I feel dizzy from the exam stress.",High
"I feel like I'm drowning in pressure. Nobody understands how bad it is.",High
"I've been having chest pains from anxiety. I don't know how to calm down.",High
"I feel emotionally and physically drained. The exam stress has destroyed me.",High
"I can't even look at my notes without feeling a wave of panic wash over me.",High
"I feel completely alone in this. Everyone expects me to be fine but I'm not.",High
"The pressure to perform is crushing my spirit. I feel broken inside.",High
"I keep having intrusive thoughts about failing and it's driving me insane.",High
"I feel like I've hit rock bottom. The exam anxiety has consumed everything.",High
"I wake up with a pit in my stomach every single morning because of exams.",High
"I can't control my thoughts. They spiral into catastrophic scenarios constantly.",High
"I'm shaking, crying, and I can't breathe. I've never felt this scared before.",High
"The anxiety has made me completely shut down. I can't study, eat, or sleep.",High
"I feel like the exam will be the end of me. I've never been this stressed in my life.",High
"My mental health is deteriorating rapidly because of exam pressure. I need help.",High
"I feel so much dread that I've considered not showing up for the exam at all.",High
"Every minute feels like torture as the exam approaches. I'm a complete wreck.",High
"I don't even recognize myself anymore. The anxiety has changed me completely.",High
